Name,Frequency,Avg_Popularity,Avg_Revenue
Vibish Sivakumar,1,51.328145,609016565.0
Gautam Belur,1,51.328145,609016565.0
Ayush Tandon,1,51.328145,609016565.0
Adil Hussain,1,51.328145,609016565.0
Caterina Murino,1,88.935165,599045960.0
Joel David Moore,5,44.5218386,594470406.4
Daniel Radcliffe,10,72.7422142,593592939.0
Sophia Myles,2,99.3347665,593556777.0
Delaney Rose Stein,1,48.681969,591794936.0
Paul F. Tompkins,1,48.681969,591794936.0
Camillia Sanes,1,48.572726,591739379.0
John Scurti,1,48.572726,591739379.0
Orlando Bloom,11,100.98372790909092,590143469.2727273
Jackson Rathbone,5,92.4853976,589687671.4
Sergio Calderón,1,104.121555,589390539.0
Mike Nussbaum,1,104.121555,589390539.0
Anatole Taubman,1,107.928811,586090727.0
Darrell Foster,1,70.867401,585349010.0
Willow Smith,1,70.867401,585349010.0
Joanna Numata,1,70.867401,585349010.0
Samuel Glen,1,70.867401,585349010.0
Randy Thom,1,64.183321,585178928.0
Will Lyman,1,120.725053,585174222.0
William Moseley,2,60.684965000000005,584229185.0
Cody Cameron,2,44.284101500000006,584111689.5
Helmut Bakaitis,2,72.049914,581793956.0
Max Charles,3,72.623811,576948573.0
Teddy Newton,2,72.1041415,576376976.0
Patrick Gallagher,1,48.780039,574480841.0
Kim Raver,1,48.780039,574480841.0
Jack Reynor,2,73.4773395,571284601.5
Rita Ora,1,98.755657,571006128.0
Eloise Mumford,1,98.755657,571006128.0
Jamie Dornan,1,98.755657,571006128.0
Billy Boyd,4,70.04304175,570504283.5
Peter Sohn,3,68.85228133333334,566402857.3333334
Tim Gunn,1,36.65422,563749323.0
Mary Gibbs,1,106.815545,562816256.0
Steve Susskind,1,106.815545,562816256.0
Rory Kinnear,4,89.1345815,556561093.25
Ryan Crego,1,20.678787,554987477.0
Rich Dietl,1,20.678787,554987477.0
Guillermo del Toro,1,20.678787,554987477.0
Mike Mitchell,1,20.678787,554987477.0
Lobo Chan,1,61.22601,550000000.0
Evan Parke,1,61.22601,550000000.0
Aedin Mincks,1,68.87691,549368315.0
Idina Menzel,3,68.25967100000001,548792427.0
John Polson,1,54.931334,546388105.0
Sophie Turner,1,139.272042,543934787.0
Richard Madden,1,101.187052,543514353.0
Elsie Fisher,1,113.858273,543513985.0
Luke Sunshine,1,87.53437,542307423.0
Troy Vincent,1,87.53437,542307423.0
Elise Robertson,1,87.53437,542307423.0
Cole Konis,1,87.53437,542307423.0
Ben Reed,1,87.53437,542307423.0
Brandon Salgado Telis,1,87.53437,542307423.0
Steve Purcell,1,125.114374,538983207.0
Steven Cree,1,125.114374,538983207.0
Peigi Barker,1,125.114374,538983207.0
Phyllis Smith,2,78.576603,536904333.0
Kristoffer Joner,1,100.635882,532950503.0
Joshua Burge,1,100.635882,532950503.0
Paco León,1,48.110909,532680671.0
Daniella Kertesz,1,81.834855,531865000.0
Abigail Hargrove,1,81.834855,531865000.0
Ludi Boeken,1,81.834855,531865000.0
Ian McKellen,17,56.09816723529412,530727718.0588235
Lenny Kravitz,3,54.50848033333333,528723701.0
Skandar Keynes,3,57.010638,528048195.6666667
Pamela Hayden,1,46.875375,527068851.0
Maile Flanagan,1,46.875375,527068851.0
Marcia Wallace,1,46.875375,527068851.0
Eric Stonestreet,2,32.744299,524961659.0
Astrid Bergès-Frisbey,2,86.484627,523025137.0
Omar Sy,3,152.28306033333334,521378517.6666667
Teresa Ganzel,1,66.390712,521311860.0
MacInTalk,1,66.390712,521311860.0
Elissa Knight,1,66.390712,521311860.0
Ben Burtt,1,66.390712,521311860.0
Shelley Berman,1,32.829538,516642939.0
Sam Claflin,5,106.4899738,513392253.8
Sylvester McCoy,2,55.3245625,510551784.0
Michelle Rodriguez,10,41.457208800000004,506186999.4
Tom Felton,10,68.4265874,505369776.6
Vivian Bonnell,1,41.967005,505000000.0
Armelia McQueen,1,41.967005,505000000.0
Gail Boggs,1,41.967005,505000000.0
Scott Weinger,1,92.982009,504050219.0
Charlie Adler,1,92.982009,504050219.0
Jonathan Freeman,1,92.982009,504050219.0
Tom Hiddleston,6,69.75151916666667,503757219.6666667
Emma Watson,12,66.06953583333333,503062191.1666667
Monique Gabriela Curnen,2,93.89127599999999,502279222.0
Sam Worthington,8,56.49560175,500728110.75
Bruno Mars,1,42.40024,500188435.0
Mackenzie Foy,2,387.1115965,496560079.0
Noah Johnston,2,61.747295,494896360.0
Philip McGrade,1,67.263269,494878759.0
Stephen R. Hart,1,46.985445,491868548.0
Vicki Lewis,2,48.994789,489817768.0
Paul Satterfield,1,109.684788,484572835.0
Bobby Block,1,67.298732,484409218.0
Peter Dennis,1,67.298732,484409218.0
Clive Pearse,1,67.298732,484409218.0
Ty Olsson,1,138.433168,482860185.0
Jamie Harris,1,138.433168,482860185.0
Jack Davenport,6,104.91742783333332,482332187.1666667
Joerg Stadler,1,76.041867,481840909.0
Rachael Huntley,1,44.635452,478207520.0
Angela Goethals,1,2.186927,476684675.0
Julia Winter,1,53.905592,474968763.0
Philip Wiegratz,1,53.905592,474968763.0
Jordan Fry,1,53.905592,474968763.0
Robert Eddison,1,80.972475,474171806.0
Asher Blinkoff,1,61.692197,473226958.0
Peter Mayhew,4,62.8914025,471624501.75
Jonathan Filley,1,50.152327,470654000.0
Susan Backlinie,1,50.152327,470654000.0
Chris Rebello,1,50.152327,470654000.0
Carl Gottlieb,1,50.152327,470654000.0
Hugo Johnstone-Burt,1,100.412364,470490832.0
Colton Haynes,1,100.412364,470490832.0
Ray Romano,6,55.294062,470354919.1666667
Zhang Jingchu,2,68.5470085,470176186.0
Alexander Gould,2,45.1165025,470167768.0
Ellen DeGeneres,2,49.993543,470167768.0
Jae Head,2,41.262903,466618840.0
Paul Goddard,1,104.309993,463517383.0
Julian Arahanga,1,104.309993,463517383.0
Marcus Chong,1,104.309993,463517383.0
Alex Hyde-White,1,45.473484,463000000.0
Robbie Coltrane,15,60.46594366666667,462523673.8666667
Hannibal Buress,3,35.523615666666664,462300615.0
Michael Wallis,1,82.643036,461983149.0
Josh Helman,2,286.775303,461396563.5
Bob Peck,2,22.916186,460050000.0
Lupita Nyong'o,3,91.13933733333333,458786733.3333333
Dileep Rao,2,106.3336095,458171828.0
Robert Pattinson,6,80.37058933333333,457348610.6666667
Koyuki,1,52.341226,456758981.0
Shichinosuke Nakamura,1,52.341226,456758981.0
Liam Hemsworth,8,78.689738375,455802249.0
Zachary Levi,4,48.8016865,454441351.25
Christopher Knights,2,66.2389465,453116382.5
BD Wong,7,88.86855371428571,449334132.14285713
Greg Zola,1,34.20669,449220945.0
David Kaye,2,59.577344499999995,447868982.5
Ethan Juan,2,38.800032,443659679.5
William O'Malley,1,47.584643,441306145.0
Peter Masterson,1,47.584643,441306145.0
Jason Miller,1,47.584643,441306145.0
Lisa Jakub,1,30.884535,441286195.0
Matthew Lawrence,1,30.884535,441286195.0
Michael Gladis,1,202.042635,440603537.0
Jim Varney,2,73.6077815,435460451.0
Annie Potts,2,73.6077815,435460451.0
Christopher Lawford,1,69.405188,435000000.0
Alan Rickman,15,56.246196866666665,434598059.93333334
Joe Ranft,3,59.967537,434531465.0
Frank Oz,10,44.0418756,434530161.9
Tomas Arana,2,60.9388405,434323583.5
Ruth Negga,1,63.148529,433677183.0
Hugo Weaving,14,62.33005321428571,433270168.28571427
Freddie Boath,1,41.862983,433013274.0
Lawrence Makoare,1,54.159392,431971116.0
Wes Studi,7,40.45090042857142,431004590.14285713
Jonathan Groff,3,62.05493266666667,429899269.6666667
Peter von Berg,1,57.739713,429632142.0
Leonid Citer,1,57.739713,429632142.0
Semion Sudarikov,1,57.739713,429632142.0
David Allen Brooks,1,57.739713,429632142.0
Dmitri S. Boudrine,1,57.739713,429632142.0
Chris Miller,2,75.832858,428980656.0
Will.i.am,2,26.077188000000003,428849312.0
Matt Lucas,3,41.17104066666667,428232779.0
Ed Skrein,2,269.7863355,427871324.5
Dennis Christopher,1,82.121691,425368238.0
David Steen,1,82.121691,425368238.0
Jimmy Smits,2,23.715187999999998,425000000.0
Mary Alice,1,73.313918,424988211.0
Roy Jones Jr.,1,73.313918,424988211.0
Jimmy Herman,1,45.707835,424208848.0
Yeardley Smith,2,42.3801985,420623431.0
Sergio Castellitto,1,53.978602,419651413.0
Alicia Borrachero,1,53.978602,419651413.0
Tyrese Gibson,13,27.295181999999997,419598760.15384614
Titus Welliver,3,51.54231866666667,417856673.6666667
Hillary Wolf,2,41.837306,417838178.0
Kellan Lutz,7,71.62080557142858,416874129.0
Colin Moody,1,49.661984,415686217.0
Tony Nixon,1,49.661984,415686217.0
Shane Rangi,1,49.661984,415686217.0
Scott Shepherd,1,62.641286,415484914.0
Haruhiko Yamanouchi,1,15.953444,415440673.0
Tao Okamoto,1,15.953444,415440673.0
Rila Fukushima,1,15.953444,415440673.0
Svetlana Khodchenkova,1,15.953444,415440673.0
Jeremy Renner,16,67.871936125,414563770.4375
Freya Wilson,1,54.053576,414211549.0
Ralph Seymour,1,49.510658,412800000.0
Jack Murdock,1,49.510658,412800000.0
Gerald R. Molen,1,49.510658,412800000.0
Lee Wallace,1,44.104469,411348924.0
Jerry Hall,1,44.104469,411348924.0
Michele Lamar Richards,1,26.576385,411006740.0
Christopher Birt,1,26.576385,411006740.0
Tom McGrath,3,67.07837833333333,409373324.3333333
Karen Gillan,2,258.484936,408679437.5
Marion McCorry,1,28.848187,408247917.0
Ted Sutton,1,28.848187,408247917.0
Patricia Kalember,1,28.848187,408247917.0
Andrew Divoff,2,39.4825485,408014225.5
Amy Yasbeck,2,65.38833199999999,407291703.5
Jenny Slate,3,21.694941999999998,407259235.3333333
Cobie Smulders,6,53.33210433333333,406717769.6666667
Andrew Scott,3,62.82228066666667,404757330.3333333
Lucy Hutchinson,1,68.889395,403170142.0
Isabella Leong,1,60.034162,401128639.0
Evelyn Keyes,1,48.98255,400176459.0
Barbara O'Neil,1,48.98255,400176459.0
Fred Crane,1,48.98255,400176459.0
Ann Rutherford,1,48.98255,400176459.0
George Reeves,1,48.98255,400176459.0
Leslie Howard,1,48.98255,400176459.0
Elizabeth Mathis,1,73.79505,400062763.0
Serinda Swan,1,73.79505,400062763.0
Amy Esterle,1,73.79505,400062763.0
Georgie Henley,4,43.475214,396036146.75
Anna Popplewell,3,41.91170866666666,394004786.0
Karan Soni,2,269.87797900000004,393560385.5
Pavel Lychnikoff,2,43.455916,393318016.5
Daniel Bernhardt,2,49.7281935,392408171.0
Brian Sacca,1,95.007934,392000694.0
Daniel Gillies,2,23.6502285,391883170.5
Leslie Uggams,2,258.57538200000005,391556489.5
Jean-Pierre Marielle,2,26.488356000000003,390910229.5
Nick Brimble,1,28.803729,390493908.0
Carel Struycken,2,70.65055100000001,390446482.5
Don Fellows,1,68.159596,389925971.0
Wolf Kahler,1,68.159596,389925971.0
Tim Pigott-Smith,3,56.83058833333333,386258457.6666667
Morgan Lily,2,34.742461500000005,385704403.5
Tony Jaa,4,32.461988,385587901.0
Rick Aviles,2,43.3036485,384609110.0
Yancey Arias,1,48.93337,383531464.0
Christina Chang,1,48.93337,383531464.0
Yorgo Constantine,1,48.93337,383531464.0
Lorri Bagley,1,99.561972,383257136.0
Jessica Barth,2,68.8057115,383195451.5
Bryce Dallas Howard,9,84.63544555555556,382830972.7777778
Gal Gadot,4,55.07729225,381686465.5
Jimmy Kimmel,1,36.167578,381509870.0
Denis Leary,11,51.91880145454545,381425419.72727275
Chris Zylka,2,49.114989,381171157.5
Claudia Wells,1,76.603233,381109762.0
Wendie Jo Sperber,1,76.603233,381109762.0
John Sumner,2,62.181395,380409805.5
Andrew Pleavin,2,68.35428200000001,380095235.0
Marshall Manesh,1,38.729418,378882411.0
Mahesh Manjrekar,1,59.258969,377910544.0
Mia Drake Inderbitzin,1,59.258969,377910544.0
Jeneva Talwar,1,59.258969,377910544.0
Rajendranath Zutshi,1,59.258969,377910544.0
Ayush Mahesh Khedekar,1,59.258969,377910544.0
Ashley Greene,7,68.83162257142857,377863746.4285714
Ken Watanabe,5,75.2066628,377485321.6
Alain Figlarz,1,49.353524,376141306.0
Tom McCarthy,3,29.265318333333337,374762187.3333333
John Morris,1,73.640445,373554033.0
Ben Walker,1,42.990906,372234864.0
Dakota Blue Richards,1,42.990906,372234864.0
Chris Hemsworth,14,67.85220221428571,371771429.4285714
Isabel Lucas,3,29.291963666666664,371539236.3333333
Roland Kickinger,1,71.862892,371353001.0
Lindsay Duncan,3,55.21915466666667,370863853.0
Jonas Armstrong,1,79.456485,370541256.0
Kick Gurry,1,79.456485,370541256.0
Sergio Rubini,2,34.778337,370348842.5
Markie Post,1,57.110486,369884651.0
Kirk Acevedo,2,127.512412,369712410.5
Carrie Coon,1,143.041543,369330363.0
Maximiliano Hernández,2,62.070145,368911843.5
Andreas Katsulas,1,54.884297,368875760.0
April Lawrence,1,63.473086,368871007.0
Stephen Kearin,1,63.473086,368871007.0
Lisa Stewart,1,63.473086,368871007.0
Christina Eleusiniotis,1,18.115566,368744044.0
Marita Zouravlioff,1,18.115566,368744044.0
Christopher Lee,13,46.608516307692305,368619929.0
Ryan Cross,1,34.576913,368100420.0
Julie Ann Emery,1,34.576913,368100420.0
Sebastian Stan,9,74.97604533333335,367600409.6666667
Ziggy Marley,1,47.094369,367275019.0
David P. Smith,1,47.094369,367275019.0
Graham McTavish,6,57.470380500000005,366842052.1666667
Mackenzie Crook,6,95.44682,366321229.0
Irrfan Khan,9,72.169039,366219403.7777778
Anthony Peck,1,51.881077,366101666.0
Sam Phillips,1,51.881077,366101666.0
Nicholas Wyman,1,51.881077,366101666.0
Josh Duhamel,8,20.285651375,365796610.0
Tom Gallop,2,49.297716,365662177.5
Rebecca Ferguson,2,66.8797455,365616546.0
Chris Sanders,2,59.9216545,365475227.5
Julie Andrews,11,41.29723236363636,365215548.0
Bruce Norris,2,41.616448500000004,364754596.5
Emma Chambers,1,28.969151,363889678.0
James Dreyfus,1,28.969151,363889678.0
Taylor Lautner,8,62.423503249999996,363828798.125
Phyllis Diller,1,87.350802,363258859.0
Jonathan Harris,1,87.350802,363258859.0
Shaobo Qin,1,76.840712,362744280.0
Ariane Rinehart,1,46.115758,362637473.0
Samantha Bond,1,39.604363,361832400.0
Alan Ritchson,2,91.61208350000001,361411924.0
Pete Ploszek,2,91.61208350000001,361411924.0
Allison Karman,1,47.336034,361366633.0
Tiara Parker,1,47.336034,361366633.0
Martin Freeman,9,55.31014488888889,359814326.5555556
Dale Dye,2,60.098957999999996,359813395.0
Josh Gad,8,61.559339375,359118726.625
Jedidiah Cohen,1,81.487685,358991681.0
Anil Kapoor,3,45.97385333333333,357541308.0
Terry Notary,2,137.37206,357304624.0
Barry Tubb,1,58.900647,356830601.0
Sidney Ralitsoele,1,42.741719,356743061.0
Casper Crump,1,42.741719,356743061.0
Yule Masiteng,1,42.741719,356743061.0
Cosimo Fusco,1,67.447636,356613439.0
Victor Alfieri,1,67.447636,356613439.0
David Pasquesi,1,67.447636,356613439.0
Walter Bankson,1,40.723459,355692760.0
Anna Colwell,1,40.723459,355692760.0
Stephen Caudill,1,40.723459,355692760.0
Emily Ann Lloyd,1,68.140214,355237933.0
Geraldine James,6,46.34190666666667,355092329.0
T.J. Miller,12,97.98595141666668,354859779.3333333
Michael Papajohn,3,37.32252233333333,354668037.6666667
Peter Siragusa,1,26.548594,354248063.0
Samuel E. Wright,1,26.548594,354248063.0
Frank John Hughes,1,73.944049,352114312.0
Jenette Goldstein,2,84.701245,351658227.5
Johnny Williams,1,85.30318,351583407.0
Orestes Matacena,1,85.30318,351583407.0
Jake Lloyd,3,25.582804666666664,351383315.6666667
John Rhys-Davies,12,52.060711749999996,351374049.1666667
Chris Evans,17,58.42239217647059,350537450.2352941
Hawthorne James,1,49.526736,350448145.0
Lee Pace,3,173.96482233333333,349540693.0
Don Rickles,6,45.4006975,348695913.3333333
Chris Sheffield,1,131.815575,348319861.0
Joe Adler,1,131.815575,348319861.0
Blake Cooper,1,131.815575,348319861.0
David Dayan Fisher,1,58.849256,347451894.0
Jennifer Lawrence,15,64.4752668,347350713.53333336
Terry Chen,1,95.914473,347234916.0
Jerry Wasserman,1,95.914473,347234916.0
Margot Robbie,5,72.4878486,346961433.4
Mike Myers,11,32.856629,346487278.54545456
Judy Kuhn,1,47.845589,346079773.0
Ludacris,8,30.867551249999998,345592171.125
Josh Ryan Evans,1,45.419668,345141403.0
Rachel Winfree,1,45.419668,345141403.0
Taylor Momsen,1,45.419668,345141403.0
Beau Garrett,2,67.3028865,344555263.0
Earl Boen,3,81.79384366666666,344457066.6666667
Hanna Hall,2,82.1761215,344177388.0
Sofia Boutella,1,65.352913,343471816.0
Art Parkinson,2,82.43515550000001,343010016.5
Daniel Henney,3,70.18197733333334,341722769.0
Irwin Keyes,1,28.964162,341631208.0
David Schwimmer,6,29.52498816666667,341578582.0
Sacha Baron Cohen,10,36.3744226,341437076.7
Kevin Lima,1,29.21998,340487652.0
Rachel Covey,1,29.21998,340487652.0
Jordana Brewster,7,25.31885828571429,339993468.71428573
Sharlto Copley,4,89.448854,339974911.0
Laz Alonso,9,25.997297222222223,339532809.7777778
Liv Tyler,11,52.67717727272727,339146515.0
Callan Mulvey,1,71.510596,337580051.0
Glenn Fitzgerald,2,41.471201,336611608.5
Elizabeth Sanders,1,48.205606,336529144.0
Rihanna,2,64.200734,335948246.0
Charles Rocket,2,40.742451,335742111.0
Steve Toussaint,1,62.169881,335154643.0
Gísli Örn Garðarsson,1,62.169881,335154643.0
Vanessa Marcil,1,51.469576,335062621.0
Henry Lloyd-Hughes,1,51.535701,334901337.0
Judd Hirsch,5,43.550412,334624833.4
Affif Ben Badra,1,81.499621,334615000.0
Sally Field,9,44.729548,334571594.3333333
Jake Johnson,6,105.55746333333333,333977830.3333333
Götz Otto,1,42.887121,333011068.0
Amrish Puri,1,66.976776,333000000.0
Jonathan Ke Quan,1,66.976776,333000000.0
Chua Kah Joo,1,66.976776,333000000.0
Darlene Vogel,1,43.345252,332000000.0
Jeffrey Weissman,1,43.345252,332000000.0
Marcus Scribner,1,51.692953,331926147.0
Jack Bright,1,51.692953,331926147.0
Maleah Nipay-Padilla,1,51.692953,331926147.0
Jack McGraw,1,51.692953,331926147.0
Ryan Teeple,1,51.692953,331926147.0
Elizabeth Reaser,8,59.082336375,331785085.625
Nikki Reed,8,57.702494375,330993554.25
Phyllis George,1,29.97224,330444045.0
Nicole DeHuff,1,29.97224,330444045.0
Richard McCabe,3,50.27861833333333,329956900.3333333
Ki Hong Lee,2,122.488529,329788393.5
Monica Bellucci,8,44.478077125,329675873.625
Jeffrey Kramer,2,34.8941855,329269003.5
Giancarlo Giannini,4,62.1258,328857600.25
Ritchie Singer,1,16.072466,328203506.0
Rik Colitti,1,16.072466,328203506.0
John Snyder,1,16.072466,328203506.0
Ksenia Solo,1,91.285683,327803731.0
